clase,nombre_comun,nombre_cientifico,familia,parte_usada,usos_tradicionales,principios_activos,contraindicaciones,fuente
Allium cepa (Onion),Onion,Allium cepa,,,,,,Herbify / Kaggle ai4a-lab/herb-plant-classification-dataset
Aloe barbadensis miller (Aloevera),Aloevera,Aloe barbadensis miller,,,,,,Herbify / Kaggle ai4a-lab/herb-plant-classification-dataset
Alpinia Galanga (Rasna),Rasna,Alpinia Galanga,,,,,,Herbify / Kaggle ai4a-lab/herb-plant-classification-dataset
Amaranthus Viridis (Arive-Dantu),Arive-Dantu,Amaranthus Viridis,,,,,,Herbify / Kaggle ai4a-lab/herb-plant-classification-dataset
Andrographis paniculata (Nelavembu),Nelavembu,Andrographis paniculata,,,,,,Herbify / Kaggle ai4a-lab/herb-plant-classification-dataset
Annona squamosa (Seethapala),Seethapala,Annona squamosa,,,,,,Herbify / Kaggle ai4a-lab/herb-plant-classification-dataset
Artocarpus heterophyllus (Jackfruit),Jackfruit,Artocarpus heterophyllus,,,,,,Herbify / Kaggle ai4a-lab/herb-plant-classification-dataset
Azadirachta indica (Neem),Neem,Azadirachta indica,,,,,,Herbify / Kaggle ai4a-lab/herb-plant-classification-dataset
Bacopa monnieri (Bhrami),Bhrami,Bacopa monnieri,,,,,,Herbify / Kaggle ai4a-lab/herb-plant-classification-dataset
Basella alba (Malabar Spinach),Malabar Spinach,Basella alba,,,,,,Herbify / Kaggle ai4a-lab/herb-plant-classification-dataset
Carica papaya (Papaya),Papaya,Carica papaya,,,,,,Herbify / Kaggle ai4a-lab/herb-plant-classification-dataset
Carissa Carandas (Karanda),Karanda,Carissa Carandas,,,,,,Herbify / Kaggle ai4a-lab/herb-plant-classification-dataset
Catharanthus roseus (Catharanthus),Catharanthus,Catharanthus roseus,,,,,,Herbify / Kaggle ai4a-lab/herb-plant-classification-dataset
Chamaecostus cuspidatus (Insulin),Insulin,Chamaecostus cuspidatus,,,,,,Herbify / Kaggle ai4a-lab/herb-plant-classification-dataset
Citrus limon (Lemon),Lemon,Citrus limon,,,,,,Herbify / Kaggle ai4a-lab/herb-plant-classification-dataset
Citrus medica (herelikai),herelikai,Citrus medica,,,,,,Herbify / Kaggle ai4a-lab/herb-plant-classification-dataset
